skill	score	Frontmatter	工作流	失败模式	检查点	具体性	资源	架构	实测	反例	runtime_warn	soft_count
网络工程师	79.5	7	10	10	6	10	3	9	6	7	0	1
人才总参谋	76.5	7	10	7	6	10	6	9	6	6	0	3
openclaw工程师	76.1	7	10	10	6	8	6	9	6	5	1	4
RAG工程师	75.4	6	10	10	6	8	3	9	6	7	0	5
AI项目PM	73.9	7	10	10	6	6	6	9	6	7	0	12
角色工厂	73.9	7	10	10	6	6	6	9	6	7	0	11
3D管线工程师	73.7	7	10	10	6	8	3	9	6	3	0	5
达尔文	73.7	7	10	10	6	8	6	6	6	7	1	8
FastAPI工程师	72.7	7	10	10	6	6	3	9	6	7	0	10
女娲	72.5	7	10	6	6	8	6	9	6	7	1	4
python工程师	72.2	7	10	10	6	5	6	9	6	7	0	20
图灵	72.0	6	10	5	4	10	4	9	6	7	0	3
自动化测试工程师	71.7	7	10	5	6	10	3	9	6	4	0	0
东方美学指导	71.3	7	10	7	6	8	6	7	6	7	0	7
3D推理优化	70.7	7	10	7	6	8	3	9	6	4	0	3
Agent工程师	69.8	7	10	10	6	5	3	8	6	7	0	22
测试工程师	69.3	7	10	5	3	10	3	9	6	3	0	1
Babylon3D渲染	67.9	7	10	6	6	6	3	9	6	7	0	18
3D技术美术	65.0	6	10	7	6	4	3	9	6	7	0	10
诸葛亮	60.0	6	10	2	2	6	3	9	6	7	0	4
